Time_DR1,Front_DR1,Back_DR1,Time__F1,Back_F1,Front_F1,Time_F2,Front_F2,Back_F2,Time_B1,Back_B1,Front_B1,Time_B2,Back_B2,Front_B2,Time_C1,Back_C1,Front_C1,Time_C2,Back_C2,Front_C2
5.133,28.06433868,31.34368896,5.066,32.35099792,26.95046043,5.267,27.73541641,30.39490891,5.333,31.03716469,30.99712563,5.533,27.80401802,29.23540878,5.134,30.66293716,30.76997948,5.4,31.96762848,32.2849884
5.267,27.87257957,31.55645943,5.133,32.33779907,27.1299572,5.334,27.68050575,30.5691967,5.466,30.95707321,30.99712563,5.6,27.59808922,29.53311348,5.2,30.38149071,30.6897068,5.467,32.12641144,32.07350922
5.333,28.09170723,31.64942741,5.266,32.29819489,27.26783943,5.467,27.84515953,30.66293716,5.6,31.02381897,31.0505085,5.733,27.72169113,29.50607872,5.334,30.54240036,30.87692642,5.6,31.88815689,32.21894073
5.467,28.03696442,31.63615036,5.333,32.58834076,27.06095314,5.601,27.85887146,30.71647072,5.666,31.15720367,31.10386658,5.866,27.73541641,29.28959274,5.467,30.5691967,31.0505085,5.733,31.87490654,32.33779907
5.6,28.22845078,31.71578789,5.466,32.52246094,27.1299572,5.801,27.70796394,30.74322891,5.8,31.18386078,31.01047325,6,27.74913979,29.27604866,5.6,30.71647072,30.95707321,5.8,31.98086739,32.37739182
5.666,28.21478271,31.83514786,5.533,32.71999741,27.21270561,5.934,27.9821949,30.70309067,5.933,31.38361168,30.99712563,6.066,27.72169113,29.370821,5.8,30.52899933,30.85019875,5.933,32.09996414,32.25857162
5.867,28.09170723,32.07350922,5.666,32.74631119,27.14375114,6,27.8314476,30.76997948,6,31.25048256,31.0905304,6.199,27.72169113,29.33021355,5.934,30.51559639,31.13053894,6.067,32.06027985,32.31139755
5.933,27.99588966,31.92789841,5.733,32.86465073,27.2953968,6.134,27.9821949,30.87692642,6.133,31.55645943,31.22383881,6.333,27.87257957,29.58716011,6.067,30.51559639,31.10386658,6.133,32.1131897,32.29819489
6.067,28.31042099,32.00734329,5.866,32.94348145,27.1989193,6.267,28.13274574,30.8902874,6.266,31.35699844,31.31706619,6.4,27.8314476,29.26250267,6.134,30.55579948,30.97042465,6.267,32.13963699,32.35099792
6.133,28.14642334,32.20572662,6,32.91720963,27.25405884,6.334,28.18744469,31.15720367,6.466,31.46341896,31.13053894,6.533,27.79030037,29.57365036,6.267,30.50219345,30.90364838,6.4,32.21894073,32.31139755
