Time,Time_Short,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6
12.134,12.134,41.47819554,31.11340283,19.84672573,22.61439632,9.85344183,8.883980762
12.201,12.201,41.0835893,30.80596307,20.22991816,22.66816137,9.559136603,9.456020319
12.334,12.334,41.88818649,30.98454184,19.91415986,22.52337093,10.38885232,9.550746791
12.467,12.467,42.23016296,30.99685165,19.98155836,21.72845155,10.38292651,9.411337444
12.667,12.667,41.82540545,31.82199065,20.82597661,22.47341897,10.71063826,9.513501729
12.734,12.734,41.86395888,31.35875392,20.21147891,22.2944482,10.55719838,9.29758626
12.934,12.934,42.55292634,31.45499239,19.96333801,23.14086209,10.91266065,8.789905925
13,13,42.43761225,31.35146374,20.16979966,22.85910595,11.56165433,9.020635929
13.201,13.201,42.66866807,31.74065835,20.42012456,23.14655372,10.4925337,8.513739594
13.334,13.334,41.98936823,31.29513796,20.38303732,23.34814339,10.34404218,9.087881695
13.467,13.467,42.4507977,31.97105744,20.40161403,22.28939802,11.24415494,9.196363793
13.601,13.601,43.18753313,32.12850386,20.32744972,23.19419951,11.01976311,8.943289807
13.667,13.667,42.403213,31.98323998,20.61221969,23.08798286,10.69965208,9.51243773
13.801,13.801,43.42283476,32.56810352,20.82835406,22.60157233,10.63630595,9.838123296
13.867,13.867,43.55350811,32.91607198,21.10392985,24.19234273,11.05629544,10.01357625
14,14,43.54852921,32.52280974,21.08360187,23.44378622,10.3722967,9.443287965
14.134,14.134,43.65932767,32.73288085,20.94352561,23.21557622,10.3722967,9.837013479
14.267,14.267,43.12028227,32.29771028,20.54278992,23.62430463,10.98323077,10.61895106
14.401,14.401,43.32094029,32.97339557,20.80701808,23.19721841,11.56033069,9.829300757
14.467,14.467,43.43396348,33.20989866,22.02064405,23.85226009,11.08778269,10.13017834
14.601,14.601,43.78871811,33.30970586,21.46325103,23.78601723,11.55376342,10.43897229
14.667,14.667,43.98848523,32.44711816,21.46620884,23.26879654,10.83345634,9.545391159
14.801,14.801,43.92342856,32.90849672,21.27268827,23.63182389,11.80031596,10.18666703
14.934,14.934,44.27698683,32.774835,22.08796618,23.97382581,11.24872657,10.93545772
15,15,43.63802223,33.58781692,21.8324282,23.3219405,11.75309781,10.21255937
15.134,15.134,43.33864646,33.15275325,22.00064698,24.50797885,11.62819246,10.35031417
15.267,15.267,44.83626858,34.02293149,22.62210904,24.20216818,11.4114879,10.00125117
15.334,15.334,44.61934511,33.25574227,22.61439632,24.62066095,11.90457261,10.60824488
15.467,15.467,44.05563936,33.60658708,22.66816137,24.09711735,12.12392444,10.57204855
15.601,15.601,44.1829629,33.79364221,22.52337093,24.45139344,11.55113142,11.14425101
15.667,15.667,44.27698683,33.75074625,21.72845155,24.83259024,11.62025574,10.78810147
15.867,15.867,44.15280438,33.69853901,22.47341897,24.47076434,11.60708556,10.78568329
15.934,15.934,45.01893534,33.9229512,22.2944482,24.44035127,11.62025574,10.74947677
16.067,16.067,44.95201031,33.58330638,23.14086209,24.93009634,11.75709417,11.12680957
16.267,16.267,44.79769479,34.05607328,22.85910595,24.44035127,12.51083323,10.31876583
16.401,16.401,44.89019653,34.3207138,23.14655372,24.48153669,12.83286352,11.95875002
16.467,16.467,45.06266622,34.07459909,23.34814339,24.68944926,12.76113776,11.17798335
16.601,16.601,45.80324019,34.68230043,22.28939802,24.87889202,12.1846233,10.76881712
16.667,16.667,45.31211548,34.81894033,23.19419951,24.92166581,12.56971973,10.93300899
16.867,16.867,45.15283124,34.3141669,23.08798286,24.38118477,12.78467302,11.12806193
16.934,16.934,45.02433679,35.04180997,22.60157233,25.41370179,13.15337164,11.58845794
17.067,17.067,45.23761518,34.47723877,24.19234273,25.85664108,12.38989368,10.96310643
17.201,17.201,45.0475106,34.34958942,23.44378622,24.88522002,12.1356997,10.80497273
17.334,17.334,44.92918778,34.83897304,23.21557622,25.20233759,12.82558862,11.69840113
17.401,17.401,45.72751298,35.35360755,23.62430463,25.24512665,12.57114518,11.83538211
17.534,17.534,46.25648348,35.11040483,23.19721841,26.51901875,13.23767703,11.51348418
18.667,18.667,45.92111501,35.31944758,23.85226009,25.97112536,12.57684699,11.5186209
18.867,18.867,46.00552731,35.09606884,23.78601723,25.90548323,13.09450041,11.3338465
18.934,18.934,45.84608016,35.22446147,23.26879654,25.05952752,13.39752636,11.34144722
19.067,19.067,45.83353108,35.80667266,23.63182389,26.14537686,13.45852559,12.25930688
19.134,19.134,45.72751298,35.52982414,23.97382581,25.7533568,13.36243984,11.55225142
19.267,19.267,45.45569937,35.46718565,23.3219405,26.1502234,13.21160141,11.6595677
19.334,19.334,46.39497137,34.8330625,24.50797885,26.04756021,13.19964797,12.04602341
19.534,19.534,45.86381687,35.49719144,24.20216818,25.9477581,13.61678146,12.56592191
19.601,19.601,45.72604171,35.59675427,24.62066095,25.82471092,14.06015857,12.22308
19.734,19.734,46.76736599,35.61306044,24.09711735,25.95068028,13.76135808,12.10901318
19.867,19.867,46.32657506,36.36053768,24.45139344,26.15802776,13.37177656,12.214904
20,20,46.29323981,36.0842848,24.83259024,26.34660507,13.41588416,12.45731254
20.134,20.134,45.57171092,36.34389042,24.47076434,26.51749657,13.86107364,11.82747085
20.267,20.267,46.35816413,36.34389042,24.44035127,26.1502234,13.46157504,12.14116224
20.401,20.401,46.15652865,35.37628753,24.93009634,26.43729954,14.1285447,12.48517507
20.534,20.534,46.0304422,36.58171715,24.44035127,26.50265658,14.60285415,12.56732191
20.667,20.667,46.32836197,36.67940143,24.48153669,27.07208451,13.81976094,12.06206994
20.801,20.801,46.1812959,36.45481106,24.68944926,26.93028752,14.22866753,12.38492496
20.867,20.867,46.46328114,36.87907692,24.87889202,26.29767638,14.55306001,12.84857915
21,21,46.3862252,36.17066728,24.92166581,26.31122837,13.43725069,12.92390927
21.134,21.134,46.90340516,36.4381638,24.38118477,27.00458928,14.16834031,12.30981375
21.334,21.334,46.54563162,36.08622953,25.41370179,26.86308758,14.69450063,13.02539647
21.401,21.401,47.42379239,36.31146645,25.85664108,26.90821845,14.44981136,12.45731254
21.534,21.534,46.63859155,37.39584452,24.88522002,27.24097528,14.84933033,12.55195247
21.667,21.667,47.08704429,36.42153691,25.20233759,26.46121152,14.27653732,12.97905905
21.734,21.734,46.68244969,36.91696343,25.24512665,27.38680426,14.68952681,13.11222185
21.867,21.867,47.46779818,36.95932994,26.51901875,27.27562907,14.36363252,13.43952124
22,22,47.2811605,37.56562111,25.97112536,26.77994291,14.47332625,11.87341118
